,time,open,high,low,close,volume
0,2019-06-18 16:01:00,14.9494375184,14.9494375184,14.9494375184,14.9494375184,6246
1,2019-06-18 16:00:00,14.979059917699999,14.979059917699999,14.9198151191,14.9198151191,2060
2,2019-06-18 15:59:00,14.9593116515,14.979059917699999,14.9593116515,14.979059917699999,1468
3,2019-06-18 15:58:00,14.9593116515,14.9593116515,14.909940985999999,14.909940985999999,664
4,2019-06-18 15:57:00,14.9395633853,14.9395633853,14.9395633853,14.9395633853,262
5,2019-06-18 15:56:00,14.9445004519,14.9691857846,14.880318586700001,14.9691857846,2115
6,2019-06-18 15:55:00,14.964248718099999,14.964248718099999,14.9593116515,14.9593116515,385
7,2019-06-18 15:54:00,14.9593116515,14.9593116515,14.9593116515,14.9593116515,300
8,2019-06-18 15:53:00,14.9691857846,14.998808183900001,14.9593116515,14.9593116515,512
9,2019-06-18 15:52:00,15.008682317,15.008682317,14.9889340508,14.9889340508,491
10,2019-06-18 15:51:00,15.028430583299999,15.028430583299999,14.979059917699999,14.979059917699999,657
11,2019-06-18 15:50:00,15.0679271157,15.0679271157,15.028430583299999,15.028430583299999,536
12,2019-06-18 15:47:00,15.097549515,15.1172977812,15.0679271157,15.0679271157,965
13,2019-06-18 15:46:00,15.097549515,15.097549515,15.097549515,15.097549515,325
14,2019-06-18 15:45:00,15.097549515,15.097549515,15.097549515,15.097549515,408
15,2019-06-18 15:43:00,15.1172977812,15.1172977812,15.1172977812,15.1172977812,200
16,2019-06-18 15:42:00,15.1271719143,15.1271719143,15.1172977812,15.1172977812,1288
17,2019-06-18 15:39:00,15.1419831139,15.1419831139,15.1271719143,15.1271719143,830
18,2019-06-18 15:37:00,15.1419831139,15.1419831139,15.1419831139,15.1419831139,511
19,2019-06-18 15:36:00,15.146920180499999,15.146920180499999,15.1370460474,15.1370460474,200
20,2019-06-18 15:32:00,15.156794313599999,15.156794313599999,15.156794313599999,15.156794313599999,487
21,2019-06-18 15:31:00,15.146920180499999,15.146920180499999,15.1271719143,15.1271719143,431
22,2019-06-18 15:30:00,15.156794313599999,15.156794313599999,15.156794313599999,15.156794313599999,648
23,2019-06-18 15:26:00,15.156794313599999,15.156794313599999,15.156794313599999,15.156794313599999,136
24,2019-06-18 15:25:00,15.156794313599999,15.1765425798,15.156794313599999,15.166668446700001,711
25,2019-06-18 15:24:00,15.1864167129,15.1864167129,15.156794313599999,15.156794313599999,493
26,2019-06-18 15:22:00,15.2061649791,15.2061649791,15.2061649791,15.2061649791,200
27,2019-06-18 15:17:00,15.1765425798,15.2061649791,15.166668446700001,15.166668446700001,409
28,2019-06-18 15:14:00,15.146920180499999,15.146920180499999,15.146920180499999,15.146920180499999,230
29,2019-06-18 15:12:00,15.166668446700001,15.166668446700001,15.166668446700001,15.166668446700001,408
30,2019-06-18 15:11:00,15.146920180499999,15.146920180499999,15.146920180499999,15.146920180499999,300
31,2019-06-18 15:10:00,15.146920180499999,15.146920180499999,15.1271719143,15.1271719143,505
32,2019-06-18 15:07:00,15.146920180499999,15.146920180499999,15.146920180499999,15.146920180499999,101
33,2019-06-18 15:05:00,15.146920180499999,15.146920180499999,15.146920180499999,15.146920180499999,100
34,2019-06-18 15:02:00,15.0876753819,15.1074236481,15.077801248800002,15.0876753819,1471
35,2019-06-18 14:59:00,15.0876753819,15.0876753819,15.0876753819,15.0876753819,110
36,2019-06-18 14:56:00,15.102486581500001,15.102486581500001,15.102486581500001,15.102486581500001,100
37,2019-06-18 14:52:00,15.097549515,15.097549515,15.097549515,15.097549515,201
38,2019-06-18 14:49:00,15.1271719143,15.1271719143,15.097549515,15.097549515,216
39,2019-06-18 14:45:00,15.151857247,15.151857247,15.151857247,15.151857247,205
